key,context,en,fr,it,de,es,ru,zh,ja,ko
skill.gold.butter.desc,(generated),Sword cuts through more enemies,L'épée transperce davantage d'ennemis,La spada trapassa più nemici,Das Schwert durchschneidet mehr Gegner,La espada atraviesa más enemigos,Меч рассекает больше врагов,剑可以斩穿更多敌人,ソードがより多くの敵を切り裂く,검이 더 많은 적을 베어냄
skill.gold.butter.name,(generated),Like Butter,Comme du beurre,Come burro,Wie Butter,Como mantequilla,Как по маслу,如切黄油,バターのように,버터처럼
skill.gold.butter.upgrade,(generated),Cut through one more enemy,Transperce un ennemi de plus,Trapassa un nemico in più,Durchschneidet einen weiteren Gegner,Atraviesa un enemigo más,Рассекает ещё одного врага,多斩穿一名敌人,さらに1体多く切り裂く,적 1명 추가 관통
skill.gold.charge_unlock.desc,(generated),Increase sword damage for every second held,Augmente les dégâts de l'épée pour chaque seconde de maintien,Aumenta i danni della spada per ogni secondo di carica,Erhöht den Schwertschaden für jede gehaltene Sekunde,Aumenta el daño de la espada por cada segundo mantenido,Увеличивает урон меча за каждую секунду удержания,每蓄力一秒提高剑的伤害,長押し1秒ごとにソードのダメージが上昇,유지한 1초마다 검 피해량 증가
skill.gold.charge_unlock.name,(generated),Heavy Strike,Frappe lourde,Colpo pesante,Schwerer Schlag,Golpe pesado,Тяжёлый удар,重击,ヘビーストライク,강타
skill.gold.charge_unlock.upgrade,(generated),+1 max charge level,+1 niveau de charge max,+1 livello di carica max,+1 maximale Aufladestufe,+1 nivel de carga máx.,+1 к макс. уровню заряда,最大蓄力等级+1,最大チャージレベル+1,최대 충전 단계 +1
skill.gold.conduit.desc,(generated),Reduce lightning damage to yourself and chance to chain lightning every hit,"Réduit les dégâts de foudre subis et donne une chance de foudre en chaîne à chaque coup","Riduce i danni da fulmine subiti e dà una probabilità di fulmine a catena a ogni colpo","Reduziert erlittenen Blitzschaden und gewährt bei jedem Treffer eine Chance auf Kettenblitz","Reduce el daño de rayo recibido y otorga probabilidad de rayo en cadena en cada golpe","Снижает получаемый урон от молний и даёт шанс цепной молнии при каждом ударе",降低自身受到的闪电伤害，每次命中有几率触发连锁闪电,自身への雷ダメージを軽減し、攻撃ごとにチェインライトニングの発動確率を得る,"자신이 받는 번개 피해 감소, 매 타격 시 연쇄 번개 확률 부여"
skill.gold.conduit.name,(generated),Conduit,Conducteur,Conduttore,Leiter,Conductor,Проводник,导体,コンジット,전도체
skill.gold.conduit.upgrade,(generated),Improve lightning resistance and chain chance,Améliore la résistance à la foudre et les chances de chaîne,Migliora la resistenza al fulmine e la probabilità di catena,Verbessert Blitzresistenz und Kettenchance,Mejora la resistencia al rayo y la probabilidad de cadena,Повышает сопротивление молниям и шанс цепи,提高闪电抗性和连锁几率,雷耐性とチェイン確率を強化,번개 저항과 연쇄 확률 향상
skill.gold.counter.desc,(generated),Increase parry damage,Augmente les dégâts de parade,Aumenta i danni della parata,Erhöht den Paradeschaden,Aumenta el daño de parada,Увеличивает урон парирования,提高格挡反击伤害,パリィダメージを上昇,패링 피해량 증가
skill.gold.counter.name,(generated),Counterstrike,Contre-attaque,Contrattacco,Konterschlag,Contraataque,Контрудар,反击,カウンターストライク,반격
skill.gold.counter.upgrade,(generated),Increase parry damage further,Augmente encore les dégâts de parade,Aumenta ulteriormente i danni della parata,Erhöht den Paradeschaden weiter,Aumenta aún más el daño de parada,Ещё больше увеличивает урон парирования,进一步提高格挡反击伤害,パリィダメージをさらに上昇,패링 피해량 추가 증가
skill.gold.crit_1.desc,(generated),Increase critical strike chance,Augmente les chances de coup critique,Aumenta la probabilità di colpo critico,Erhöht die kritische Trefferchance,Aumenta la probabilidad de golpe crítico,Повышает шанс критического удара,提高暴击几率,クリティカル発生率を上昇,치명타 확률 증가
skill.gold.crit_1.name,(generated),Keen Eye,Œil perçant,Occhio acuto,Scharfes Auge,Ojo agudo,Зоркий глаз,锐利之眼,キーンアイ,예리한 눈
skill.gold.critdmg.desc,(generated),Increase critical strike damage,Augmente les dégâts des coups critiques,Aumenta i danni dei colpi critici,Erhöht den kritischen Trefferschaden,Aumenta el daño de golpe crítico,Увеличивает урон критических ударов,提高暴击伤害,クリティカルダメージを上昇,치명타 피해량 증가
skill.gold.critdmg.name,(generated),Critical Damage,Dégâts critiques,Danno critico,Kritischer Schaden,Daño crítico,Критический урон,暴击伤害,クリティカルダメージ,치명타 피해
skill.gold.critdmg.upgrade,(generated),Increase critical strike damage further,Augmente encore les dégâts des coups critiques,Aumenta ulteriormente i danni dei colpi critici,Erhöht den kritischen Trefferschaden weiter,Aumenta aún más el daño de golpe crítico,Ещё больше увеличивает урон критических ударов,进一步提高暴击伤害,クリティカルダメージをさらに上昇,치명타 피해량 추가 증가
skill.gold.elongfreeze.desc,(generated),Enemies slowed by Freezing Draw or Brain Freeze stay slowed longer,Les ennemis ralentis par Tension glaciale ou Gel cérébral restent ralentis plus longtemps,I nemici rallentati da Tiro gelido o Gelo cerebrale restano rallentati più a lungo,Durch Frostzug oder Hirnfrost verlangsamte Gegner bleiben länger verlangsamt,Los enemigos ralentizados por Tensado gélido o Congelación cerebral permanecen ralentizados más tiempo,"Враги, замедленные Ледяной тетивой или Заморозкой мозга, дольше остаются замедленными",被冰冻拉弓或脑部冻结减速的敌人减速时间更长,フリージングドローやブレインフリーズで減速した敵の減速時間が長くなる,프리징 드로우 또는 브레인 프리즈로 느려진 적이 더 오래 느려집니다
skill.gold.elongfreeze.name,(generated),Elongated Freeze,Gel prolongé,Gelo prolungato,Verlängerter Frost,Congelación prolongada,Продлённая заморозка,延长冰冻,ロングフリーズ,연장된 빙결
skill.gold.elongfreeze.upgrade,(generated),Slowed enemies stay slowed even longer,Les ennemis ralentis le restent encore plus longtemps,I nemici rallentati restano rallentati ancora più a lungo,Verlangsamte Gegner bleiben noch länger verlangsamt,Los enemigos ralentizados permanecen ralentizados aún más tiempo,Замедленные враги остаются замедленными ещё дольше,被减速的敌人减速时间进一步延长,減速した敵の減速時間がさらに長くなる,느려진 적이 더욱 오래 느려집니다
skill.gold.explodeheads.desc,(generated),Headshots detonate an impulse blast,Les tirs à la tête déclenchent une explosion d'impulsion,I colpi alla testa innescano un'esplosione d'impulso,Kopftreffer lösen eine Impulsexplosion aus,Los disparos a la cabeza detonan una explosión de impulso,Выстрелы в голову вызывают импульсный взрыв,爆头引发冲击爆炸,ヘッドショットがインパルス爆発を引き起こす,헤드샷이 임펄스 폭발을 일으킵니다
skill.gold.explodeheads.name,(generated),Exploding Heads,Têtes explosives,Teste esplosive,Explodierende Köpfe,Cabezas explosivas,Взрывные головы,爆裂头颅,頭部爆発,폭발하는 머리
skill.gold.explodeheads.upgrade,(generated),Increase headshot impulse blast damage,Augmente les dégâts de l'explosion d'impulsion des tirs à la tête,Aumenta i danni dell'esplosione d'impulso dei colpi alla testa,Erhöht den Schaden der Impulsexplosion bei Kopftreffern,Aumenta el daño de la explosión de impulso de los disparos a la cabeza,Увеличивает урон импульсного взрыва при выстрелах в голову,提高爆头冲击爆炸的伤害,ヘッドショットのインパルス爆発ダメージを増加,헤드샷 임펄스 폭발 피해 증가
skill.gold.flamearrow.desc,(generated),Arrows deal fire damage and have a chance to instantly explode Bombers,Les flèches infligent des dégâts de feu et ont une chance de faire exploser instantanément les Bombardiers,Le frecce infliggono danni da fuoco e hanno una probabilità di far esplodere istantaneamente i Bombaroli,Pfeile verursachen Feuerschaden und können Bomber sofort explodieren lassen,Las flechas infligen daño de fuego y tienen probabilidad de hacer explotar al instante a los Bombarderos,Стрелы наносят урон огнём и с шансом мгновенно взрывают Бомбардиров,箭矢造成火焰伤害，并有几率立即引爆炸弹兵,矢が炎ダメージを与え、確率でボマーを即座に爆発させる,화살이 화염 피해를 입히고 확률적으로 봄버를 즉시 폭발시킵니다
skill.gold.flamearrow.name,(generated),Flaming Arrows,Flèches enflammées,Frecce infuocate,Brennende Pfeile,Flechas llameantes,Пылающие стрелы,烈焰箭,フレイムアロー,화염 화살
skill.gold.flamearrow.upgrade,(generated),Increase the chance to explode Bombers,Augmente la chance de faire exploser les Bombardiers,Aumenta la probabilità di far esplodere i Bombaroli,"Erhöht die Chance, Bomber explodieren zu lassen",Aumenta la probabilidad de hacer explotar a los Bombarderos,Увеличивает шанс взорвать Бомбардиров,提高引爆炸弹兵的几率,ボマーを爆発させる確率を増加,봄버 폭발 확률 증가
skill.gold.freezedraw.desc,(generated),Nearby enemies are slowed while you draw your bow,Les ennemis proches sont ralentis pendant que vous bandez votre arc,I nemici vicini vengono rallentati mentre tendi l'arco,"Nahe Gegner werden verlangsamt, während du deinen Bogen spannst",Los enemigos cercanos se ralentizan mientras tensas el arco,"Ближайшие враги замедляются, пока вы натягиваете лук",拉弓时附近的敌人会被减速,弓を引いている間、周囲の敵が減速する,활을 당기는 동안 주변의 적이 느려집니다
skill.gold.freezedraw.name,(generated),Freezing Draw,Tension glaciale,Tiro gelido,Frostzug,Tensado gélido,Ледяная тетива,冰冻拉弓,フリージングドロー,프리징 드로우
skill.gold.freezedraw.upgrade,(generated),Increase the slow while drawing,Renforce le ralentissement pendant que vous bandez l'arc,Aumenta il rallentamento mentre tendi l'arco,Verstärkt die Verlangsamung beim Spannen,Aumenta la ralentización al tensar el arco,Усиливает замедление при натяжении лука,提高拉弓时的减速效果,弓を引いている間の減速効果を強化,활 당기는 동안의 감속 효과 증가
skill.gold.horse_archery.desc,(generated),Use your bow while mounted,Utilisez votre arc à cheval,Usa l'arco mentre sei in sella,Nutze deinen Bogen im Sattel,Usa tu arco mientras cabalgas,Стреляйте из лука верхом,骑乘时可使用弓,騎乗中に弓を使用できる,기마 중에 활을 사용할 수 있습니다
skill.gold.horse_archery.name,(generated),Horse Archer,Archer à cheval,Arciere a cavallo,Berittener Bogenschütze,Arquero a caballo,Конный лучник,骑射手,ホースアーチャー,기마 궁수
skill.gold.horse_heal.desc,(generated),Health Packs your horse runs over also heal the horse,Les kits de soin que votre cheval piétine soignent aussi le cheval,I kit medici calpestati dal tuo cavallo curano anche il cavallo,"Heilpakete, die dein Pferd überläuft, heilen auch das Pferd",Los botiquines que pisa tu caballo también curan al caballo,"Аптечки, по которым пробегает ваша лошадь, лечат и её",马匹踏过的治疗包也会治疗马匹,馬が踏んだヘルスパックは馬も回復させる,말이 밟은 체력 팩이 말도 회복시킵니다
skill.gold.horse_heal.name,(generated),Stable Diet,Régime d'écurie,Dieta da stalla,Stallkost,Dieta de establo,Конюшенный рацион,马厩食谱,厩舎の食事,마구간 식단
skill.gold.horse_health.desc,(generated),Increase your horse's max health,Augmente la santé maximale de votre cheval,Aumenta la salute massima del tuo cavallo,Erhöht die maximale Gesundheit deines Pferdes,Aumenta la salud máxima de tu caballo,Увеличивает максимальное здоровье лошади,提高马匹的最大生命值,馬の最大体力を増加,말의 최대 체력 증가
skill.gold.horse_health.name,(generated),Barded Steed,Destrier caparaçonné,Destriero bardato,Gepanzertes Ross,Corcel acorazado,Бронированный скакун,披甲战马,馬鎧の駿馬,갑주 군마
skill.gold.horse_health.upgrade,(generated),Increase your horse's max health further,Augmente encore la santé maximale de votre cheval,Aumenta ulteriormente la salute massima del tuo cavallo,Erhöht die maximale Gesundheit deines Pferdes weiter,Aumenta aún más la salud máxima de tu caballo,Ещё больше увеличивает максимальное здоровье лошади,进一步提高马匹的最大生命值,馬の最大体力をさらに増加,말의 최대 체력 추가 증가
skill.gold.horse_speed.desc,(generated),Increase your horse's speed,Augmente la vitesse de votre cheval,Aumenta la velocità del tuo cavallo,Erhöht die Geschwindigkeit deines Pferdes,Aumenta la velocidad de tu caballo,Увеличивает скорость лошади,提高马匹的速度,馬の速度を増加,말의 속도 증가
skill.gold.horse_speed.name,(generated),Thoroughbred,Pur-sang,Purosangue,Vollblut,Purasangre,Чистокровный,纯血宝马,サラブレッド,서러브레드
skill.gold.horse_speed.upgrade,(generated),Increase your horse's speed further,Augmente encore la vitesse de votre cheval,Aumenta ulteriormente la velocità del tuo cavallo,Erhöht die Geschwindigkeit deines Pferdes weiter,Aumenta aún más la velocidad de tu caballo,Ещё больше увеличивает скорость лошади,进一步提高马匹的速度,馬の速度をさらに増加,말의 속도 추가 증가
skill.gold.horse_unlock.desc,(generated),Unlock horse riding: jump onto a riderless horse to mount and press X to dismount,Débloque l'équitation : sautez sur un cheval sans cavalier pour le monter et appuyez sur X pour descendre,Sblocca l'equitazione: salta su un cavallo senza cavaliere per montarlo e premi X per smontare,"Schaltet das Reiten frei: Springe auf ein reiterloses Pferd, um aufzusitzen, und drücke X zum Absitzen",Desbloquea la equitación: salta sobre un caballo sin jinete para montarlo y pulsa X para desmontar,"Открывает верховую езду: запрыгните на лошадь без всадника, чтобы сесть верхом, и нажмите X, чтобы спешиться",解锁骑马：跳上无主的马即可骑乘，按X下马,騎乗を解放：騎手のいない馬に飛び乗って騎乗し、Xキーで降りる,말 타기 해금: 기수 없는 말에 올라타서 탑승하고 X 키로 내립니다
skill.gold.horse_unlock.name,(generated),Saddle Up,En selle,In sella,Aufgesattelt,A caballo,В седло,上马,サドルアップ,안장 위로
skill.gold.hp_1.desc,(generated),Increase max health,Augmente la santé maximale,Aumenta la salute massima,Erhöht die maximale Gesundheit,Aumenta la salud máxima,Увеличивает максимальное здоровье,提高最大生命值,最大体力を増加,최대 체력 증가
skill.gold.hp_1.name,(generated),Vitality,Vitalité,Vitalità,Vitalität,Vitalidad,Живучесть,活力,バイタリティ,활력
skill.gold.hp_1.upgrade,(generated),Increase max health further,Augmente encore la santé maximale,Aumenta ulteriormente la salute massima,Erhöht die maximale Gesundheit weiter,Aumenta aún más la salud máxima,Ещё больше увеличивает максимальное здоровье,进一步提高最大生命值,最大体力をさらに増加,최대 체력 추가 증가
skill.gold.hp_2.desc,(generated),Greatly increase max health,Augmente considérablement la santé maximale,Aumenta notevolmente la salute massima,Erhöht die maximale Gesundheit erheblich,Aumenta enormemente la salud máxima,Значительно увеличивает максимальное здоровье,大幅提高最大生命值,最大体力を大幅に増加,최대 체력 대폭 증가
skill.gold.hp_2.name,(generated),Vigor,Vigueur,Vigore,Lebenskraft,Vigor,Бодрость,精力,ヴィガー,원기
skill.gold.hp_2.upgrade,(generated),Greatly increase max health further,Augmente encore considérablement la santé maximale,Aumenta ancora notevolmente la salute massima,Erhöht die maximale Gesundheit erheblich weiter,Aumenta enormemente la salud máxima aún más,Ещё значительнее увеличивает максимальное здоровье,进一步大幅提高最大生命值,最大体力をさらに大幅に増加,최대 체력 대폭 추가 증가
skill.gold.icebreaker.desc,(generated),Your sword deals more damage to chilled enemies,Votre épée inflige plus de dégâts aux ennemis glacés,La tua spada infligge più danni ai nemici raffreddati,Dein Schwert verursacht mehr Schaden an unterkühlten Gegnern,Tu espada inflige más daño a los enemigos helados,Ваш меч наносит больше урона охлаждённым врагам,你的剑对受冰缓的敌人造成更多伤害,冷気状態の敵に剣のダメージが増加,냉기에 걸린 적에게 검 피해 증가
skill.gold.icebreaker.name,(generated),Ice Breaker,Brise-glace,Rompighiaccio,Eisbrecher,Rompehielos,Ледокол,破冰者,アイスブレイカー,아이스 브레이커
skill.gold.icebreaker.upgrade,(generated),Deal even more damage to chilled enemies,Inflige encore plus de dégâts aux ennemis glacés,Infliggi ancora più danni ai nemici raffreddati,Verursache noch mehr Schaden an unterkühlten Gegnern,Inflige aún más daño a los enemigos helados,Наносит ещё больше урона охлаждённым врагам,进一步提高对受冰缓敌人的伤害,冷気状態の敵へのダメージをさらに増加,냉기에 걸린 적에게 피해 추가 증가
skill.gold.imparrow_1.desc,(generated),Arrows are affected by your Impulse Orb buff: hits fling enemies skyward,Les flèches profitent de votre bonus d'Orbe d'impulsion : les coups projettent les ennemis dans les airs,Le frecce beneficiano del potenziamento Sfera d'impulso: i colpi scagliano i nemici in aria,Pfeile profitieren von deinem Impulskugel-Buff: Treffer schleudern Gegner in die Luft,Las flechas se benefician de tu mejora de Orbe de impulso: los impactos lanzan a los enemigos por los aires,На стрелы действует бафф Сферы импульса: попадания подбрасывают врагов в небо,箭矢受到冲击宝珠增益的影响：命中会将敌人击飞上天,矢にインパルスオーブのバフが適用：ヒットで敵を空高く吹き飛ばす,화살에 임펄스 오브 버프가 적용됩니다: 적중 시 적을 하늘로 날려버립니다
skill.gold.imparrow_1.name,(generated),Impulse Arrow,Flèche d'impulsion,Freccia d'impulso,Impulspfeil,Flecha de impulso,Импульсная стрела,冲击箭,インパルスアロー,임펄스 화살
skill.gold.impchance.desc,(generated),Increase Impulse Goblin spawn chance,Augmente la chance d'apparition des Gobelins d'impulsion,Aumenta la probabilità di comparsa dei Goblin d'impulso,Erhöht die Erscheinungschance von Impulsgoblins,Aumenta la probabilidad de aparición de los Goblins de impulso,Увеличивает шанс появления импульсных гоблинов,提高冲击哥布林的出现几率,インパルスゴブリンの出現率を増加,임펄스 고블린 등장 확률 증가
skill.gold.impchance.name,(generated),Impulse Scent,Flair d'impulsion,Fiuto d'impulso,Impulswitterung,Rastro de impulso,Запах импульса,冲击气息,インパルスの気配,임펄스의 기척
skill.gold.impchance.upgrade,(generated),Increase Impulse Goblin spawn chance further,Augmente encore la chance d'apparition des Gobelins d'impulsion,Aumenta ulteriormente la probabilità di comparsa dei Goblin d'impulso,Erhöht die Erscheinungschance von Impulsgoblins weiter,Aumenta aún más la probabilidad de aparición de los Goblins de impulso,Ещё больше увеличивает шанс появления импульсных гоблинов,进一步提高冲击哥布林的出现几率,インパルスゴブリンの出現率をさらに増加,임펄스 고블린 등장 확률 추가 증가
skill.gold.impdur.desc,(generated),Increase impulse buff duration,Augmente la durée du bonus d'impulsion,Aumenta la durata del potenziamento d'impulso,Erhöht die Dauer des Impuls-Buffs,Aumenta la duración de la mejora de impulso,Увеличивает длительность импульсного баффа,提高冲击增益的持续时间,インパルスバフの持続時間を増加,임펄스 버프 지속시간 증가
skill.gold.impdur.name,(generated),Lingering Impulse,Impulsion persistante,Impulso persistente,Anhaltender Impuls,Impulso persistente,Затяжной импульс,持久冲击,残留インパルス,지속되는 임펄스
skill.gold.impdur.upgrade,(generated),Increase impulse buff duration further,Augmente encore la durée du bonus d'impulsion,Aumenta ulteriormente la durata del potenziamento d'impulso,Erhöht die Dauer des Impuls-Buffs weiter,Aumenta aún más la duración de la mejora de impulso,Ещё больше увеличивает длительность импульсного баффа,进一步提高冲击增益的持续时间,インパルスバフの持続時間をさらに増加,임펄스 버프 지속시간 추가 증가
skill.gold.imppower_1.desc,(generated),Increase impulse power,Augmente la puissance d'impulsion,Aumenta la potenza d'impulso,Erhöht die Impulskraft,Aumenta el poder de impulso,Увеличивает силу импульса,提高冲击威力,インパルスの威力を増加,임펄스 위력 증가
skill.gold.imppower_1.name,(generated),Impulse Power,Puissance d'impulsion,Potenza d'impulso,Impulskraft,Poder de impulso,Сила импульса,冲击威力,インパルスパワー,임펄스 파워
skill.gold.imppower_1.upgrade,(generated),Increase impulse power further,Augmente encore la puissance d'impulsion,Aumenta ulteriormente la potenza d'impulso,Erhöht die Impulskraft weiter,Aumenta aún más el poder de impulso,Ещё больше увеличивает силу импульса,进一步提高冲击威力,インパルスの威力をさらに増加,임펄스 위력 추가 증가
skill.gold.impulse_unlock.desc,(generated),Impulse Goblins: collect their orbs to supercharge the knockback on your sword,Gobelins d'impulsion : ramassez leurs orbes pour surcharger le recul de votre épée,Goblin d'impulso: raccogli le loro sfere per potenziare al massimo il contraccolpo della tua spada,"Impulsgoblins: Sammle ihre Kugeln, um den Rückstoß deines Schwerts aufzuladen",Goblins de impulso: recoge sus orbes para sobrecargar el empuje de tu espada,"Импульсные гоблины: собирайте их сферы, чтобы усилить отбрасывание вашего меча",冲击哥布林：收集它们的宝珠，为你的剑注入超强击退,インパルスゴブリン：オーブを集めて剣のノックバックを超強化,임펄스 고블린: 오브를 모아 검의 넉백을 강화하세요
skill.gold.impulse_unlock.name,(generated),Impulse,Impulsion,Impulso,Impuls,Impulso,Импульс,冲击,インパルス,임펄스
skill.gold.knock_1.desc,(generated),Knockback enemies on hit,Repousse les ennemis à chaque coup,Respingi i nemici quando li colpisci,Stößt Gegner bei Treffern zurück,Empuja a los enemigos al golpear,Отбрасывает врагов при ударе,命中时击退敌人,ヒット時に敵をノックバック,적중 시 적을 넉백시킵니다
skill.gold.knock_1.name,(generated),Brute Force,Force brute,Forza bruta,Rohe Gewalt,Fuerza bruta,Грубая сила,蛮力,ブルートフォース,완력
skill.gold.knock_2.desc,(generated),Increase knockback force,Augmente la force de recul,Aumenta la forza di respinta,Erhöht die Rückstoßkraft,Aumenta la fuerza de empuje,Увеличивает силу отбрасывания,提高击退力度,ノックバックの威力を増加,넉백 위력 증가
skill.gold.knock_2.name,(generated),Stronger Blows,Coups renforcés,Colpi più potenti,Stärkere Schläge,Golpes más fuertes,Мощные удары,更强打击,強打,강력한 타격
skill.gold.knock_2.upgrade,(generated),Increase knockback force further,Augmente encore la force de recul,Aumenta ulteriormente la forza di respinta,Erhöht die Rückstoßkraft weiter,Aumenta aún más la fuerza de empuje,Ещё больше увеличивает силу отбрасывания,进一步提高击退力度,ノックバックの威力をさらに増加,넉백 위력 추가 증가
skill.gold.lightbounce.desc,(generated),Increase chain lightning bounces,Augmente le nombre de rebonds des éclairs en chaîne,Aumenta i rimbalzi del fulmine a catena,Erhöht die Sprünge des Kettenblitzes,Aumenta los rebotes del relámpago encadenado,Увеличивает число отскоков цепной молнии,提高连锁闪电的弹射次数,チェインライトニングの連鎖回数を増加,체인 라이트닝 튕김 횟수 증가
skill.gold.lightbounce.name,(generated),Arc Chain,Chaîne d'arcs,Catena d'arco,Lichtbogenkette,Cadena de arco,Дуговая цепь,电弧链,アークチェイン,아크 체인
skill.gold.lightbounce.upgrade,(generated),Increase chain lightning bounces further,Augmente encore le nombre de rebonds des éclairs en chaîne,Aumenta ulteriormente i rimbalzi del fulmine a catena,Erhöht die Sprünge des Kettenblitzes weiter,Aumenta aún más los rebotes del relámpago encadenado,Ещё больше увеличивает число отскоков цепной молнии,进一步提高连锁闪电的弹射次数,チェインライトニングの連鎖回数をさらに増加,체인 라이트닝 튕김 횟수 추가 증가
skill.gold.lightcrit.desc,(generated),Increase chain lightning crit chance,Augmente la chance de critique des éclairs en chaîne,Aumenta la probabilità di critico del fulmine a catena,Erhöht die kritische Trefferchance des Kettenblitzes,Aumenta la probabilidad de crítico del relámpago encadenado,Увеличивает шанс критического удара цепной молнии,提高连锁闪电的暴击几率,チェインライトニングのクリティカル率を増加,체인 라이트닝 치명타 확률 증가
skill.gold.lightcrit.name,(generated),Static Discharge,Décharge statique,Scarica statica,Statische Entladung,Descarga estática,Статический разряд,静电释放,静電放電,정전기 방출
skill.gold.lightcrit.upgrade,(generated),Increase chain lightning crit chance further,Augmente encore la chance de critique des éclairs en chaîne,Aumenta ulteriormente la probabilità di critico del fulmine a catena,Erhöht die kritische Trefferchance des Kettenblitzes weiter,Aumenta aún más la probabilidad de crítico del relámpago encadenado,Ещё больше увеличивает шанс критического удара цепной молнии,进一步提高连锁闪电的暴击几率,チェインライトニングのクリティカル率をさらに増加,체인 라이트닝 치명타 확률 추가 증가
skill.gold.lightdmg.desc,(generated),Increase chain lightning damage,Augmente les dégâts des éclairs en chaîne,Aumenta i danni del fulmine a catena,Erhöht den Schaden des Kettenblitzes,Aumenta el daño del relámpago encadenado,Увеличивает урон цепной молнии,提高连锁闪电的伤害,チェインライトニングのダメージを増加,체인 라이트닝 피해 증가
skill.gold.lightdmg.name,(generated),Overcharged Bolts,Éclairs surchargés,Fulmini sovraccarichi,Überladene Blitze,Rayos sobrecargados,Перегруженные разряды,过载闪电,オーバーチャージボルト,과충전 볼트
skill.gold.lightdmg.upgrade,(generated),Increase chain lightning damage further,Augmente encore les dégâts des éclairs en chaîne,Aumenta ulteriormente i danni del fulmine a catena,Erhöht den Schaden des Kettenblitzes weiter,Aumenta aún más el daño del relámpago encadenado,Ещё больше увеличивает урон цепной молнии,进一步提高连锁闪电的伤害,チェインライトニングのダメージをさらに増加,체인 라이트닝 피해 추가 증가
skill.gold.lightdur.desc,(generated),Increase chain lightning buff duration,Augmente la durée du bonus d'éclair en chaîne,Aumenta la durata del potenziamento Fulmine a catena,Erhöht die Dauer des Kettenblitz-Buffs,Aumenta la duración de la mejora de relámpago en cadena,Увеличивает длительность баффа цепной молнии,延长连锁闪电增益的持续时间,チェインライトニングのバフ持続時間を延長,연쇄 번개 버프 지속 시간 증가
skill.gold.lightdur.name,(generated),Lingering Charge,Charge persistante,Carica persistente,Anhaltende Ladung,Carga persistente,Затяжной заряд,残留电荷,リンガリングチャージ,잔류 전하
skill.gold.lightdur.upgrade,(generated),Increase chain lightning buff duration further,Augmente encore la durée du bonus d'éclair en chaîne,Aumenta ulteriormente la durata del potenziamento Fulmine a catena,Erhöht die Dauer des Kettenblitz-Buffs weiter,Aumenta aún más la duración de la mejora de relámpago en cadena,Ещё больше увеличивает длительность баффа цепной молнии,进一步延长连锁闪电增益的持续时间,チェインライトニングのバフ持続時間をさらに延長,연쇄 번개 버프 지속 시간 추가 증가
skill.gold.lightning_unlock.desc,(generated),"Storm Witches drop Lightning Orbs, charging your sword with chain lightning","Les Sorcières des tempêtes lâchent des orbes de foudre, chargeant votre épée d'éclairs en chaîne","Le Streghe della tempesta rilasciano Sfere di fulmine, caricando la tua spada di fulmini a catena","Sturmhexen lassen Blitzkugeln fallen, die dein Schwert mit Kettenblitzen aufladen","Las Brujas de la tormenta sueltan orbes de rayo, cargando tu espada con relámpagos en cadena","Грозовые ведьмы роняют сферы молний, заряжающие ваш меч цепной молнией",风暴女巫会掉落闪电宝珠，为你的剑注入连锁闪电,ストームウィッチがライトニングオーブを落とし、剣にチェインライトニングを付与する,폭풍 마녀가 번개 구슬을 떨어뜨려 검에 연쇄 번개를 부여합니다
skill.gold.lightning_unlock.name,(generated),Chain Lightning,Éclair en chaîne,Fulmine a catena,Kettenblitz,Relámpago en cadena,Цепная молния,连锁闪电,チェインライトニング,연쇄 번개
skill.gold.medpack.desc,(generated),Increase Health Pack heal amount,Augmente les soins des kits de soin,Aumenta la cura dei kit medici,Erhöht die Heilung von Heilpaketen,Aumenta la curación de los botiquines,Увеличивает лечение от аптечек,提高医疗包的治疗量,ヘルスパックの回復量を増加,회복 팩의 회복량 증가
skill.gold.medpack.name,(generated),Field Medic,Médecin de terrain,Medico da campo,Feldsanitäter,Médico de campaña,Полевой медик,战地医师,フィールドメディック,야전 의무병
skill.gold.medpack.upgrade,(generated),Increase Health Pack heal amount further,Augmente encore les soins des kits de soin,Aumenta ulteriormente la cura dei kit medici,Erhöht die Heilung von Heilpaketen weiter,Aumenta aún más la curación de los botiquines,Ещё больше увеличивает лечение от аптечек,进一步提高医疗包的治疗量,ヘルスパックの回復量をさらに増加,회복 팩의 회복량 추가 증가
skill.gold.midas.desc,(generated),Arrows have a chance to turn an enemy golden,Les flèches ont une chance de changer un ennemi en or,Le frecce hanno una probabilità di trasformare un nemico in oro,"Pfeile haben eine Chance, einen Gegner zu vergolden",Las flechas tienen una probabilidad de volver dorado a un enemigo,Стрелы с некоторым шансом превращают врага в золотого,箭矢有几率使敌人变成黄金,矢が敵を黄金化させることがある,화살이 일정 확률로 적을 황금으로 만듭니다
skill.gold.midas.name,(generated),Arrows of Midas,Flèches de Midas,Frecce di Mida,Pfeile des Midas,Flechas de Midas,Стрелы Мидаса,迈达斯之箭,ミダスの矢,미다스의 화살
skill.gold.midas.upgrade,(generated),Increase the chance to turn an enemy golden,Augmente la chance de changer un ennemi en or,Aumenta la probabilità di trasformare un nemico in oro,"Erhöht die Chance, einen Gegner zu vergolden",Aumenta la probabilidad de volver dorado a un enemigo,Увеличивает шанс превратить врага в золотого,提高使敌人变成黄金的几率,敵を黄金化させる確率を増加,적을 황금으로 만들 확률 증가
